可不可,,(M),(L)
1,熟成紅茶,25,30
2,麗春紅茶,25,30
3,太妃紅茶,30,35
4,胭脂紅茶,35,40
5,雪藏紅茶,45,55
6,熟成冷露,25,30
7,雪花冷露,25,30
8,春芽冷露,25,30
9,春芽綠茶,25,30
10,春梅冰茶,35,45
11,冷露歐蕾,40,50
12,熟成歐蕾,40,50
13,白玉歐蕾,50,60
14,胭脂多多,40,50
15,熟成檸果,50,
