六星,049 2322852滿400外送,
1,豬排鯖魚雙拼飯,120
2,香酥大雞排飯,95
3,招牌炸雞腿飯,90
4,拿坡里雞腿排飯,90
5,古早味滷雞腿飯,85
6,日式炸豬排飯,85
7,嚴選鯖魚飯,80
8,椒鹽炸排骨飯,80
9,古早味魯排骨飯,80
10,蒜泥白肉飯,80
11,糖醋雞丁飯,80
12,三杯雞飯,80
13,菜飯,55
14,=== 輕食餐盒 ===,10000
15,香煎松板豬飯,120
16,泰式椒麻雞飯,110
17,原味嫩雞胸飯,95
18,椒麻嫩雞胸飯,95
19,蒜味嫩雞胸飯,95
20,泰式打拋豬飯,90
21,日式咖喱雞飯,90
22,日式照燒牛丼飯,90
23,日式照燒丼豬飯,90
24,=== 單點 ===,10000
25,蒜頭鮮雞湯(限加購),35
26,每日例湯,15
27,紅茶,15
28,白飯,10
