田園小轆,0982-815151,
1,田園豚骨拉麵,90
2,咖哩豚肉拌麵,95
3,咖哩雞肉拌麵,95
4,咖哩豬排拌麵,120
5,地獄麻辣拉麵(小辣),95
6,地獄麻辣拉麵(中辣),95
7,地獄麻辣拉麵(大辣),95
8,風味海鮮拉麵,110
9,加麵(一份),20
10,咖哩豚肉餐盒,95
11,咖哩雞肉餐盒,95
12,咖哩豬排餐盒,120
13,田園雞肉絲餐盒,80
14,加飯(一份),20
15,溏心蛋,25
16,春暮紅茶(甜冰固定),25
17,春暮紅茶拿鐵(甜冰固定),50
