日日佳, 049-2239393,
1,椒鹽鮭魚飯,110
2,虱目魚肚飯,110
3,挪威薄鹽鯖魚飯,100
4,蒲燒鯛魚飯,100
5,清蒸鱈魚飯,100
6,香煎肉魚飯,90
7,酥炸大雞腿飯,100
8,蜜汁大雞腿飯,105
9,泰式椒麻雞飯,90
10,原味去骨雞腿飯,85
11,香煎腿排飯,85
12,照燒腿排飯,90
13,香雞排飯,115
14,香酥棒腿飯,85
15,日日佳招牌飯,90
16,日日佳排骨飯,85
17,現炸排骨飯,85
18,日式炸豬排飯,100
19,照燒豬排飯,85
20,和風豬排飯,100
21,蒲燒排骨飯,85
22,椒麻豬排飯,90
23,爌肉飯,90
24,宮保雞丁飯,80
25,三杯雞丁飯,80
26,薑汁燒肉飯,80
27,叉燒飯,90
28,原味咔啦飯,85
29,香腸飯,70
30,綜合套餐1,60
31,綜合套餐2,65 
32,綜合套餐3,70
33,綜合套餐4,80 
