小煮角,049 2313615 市內滿500送,
1,雙併豬雞,120
2,雙併魚豬,120
3,主角手打排,100
4,滿燒鯛魚飯,110
5,甘露魚燒飯,110
6,薑爆三杯雞,100
7,麥芽滷豬腳,90
8,紅燒嫩骨飯,90
9,梅干爌肉飯,90
