得正,,(M),(L)
1,紅茶,25,30
2,綠茶,25,30
3,春烏龍,30,35
4,輕烏龍,30,35
5,焙烏龍,30,35
6,奶茶,40,45
7,焙烏龍奶茶,40,45
8,珍珠奶茶,50,55
9,黃金珍珠奶綠,55,60
10,檸檬春烏龍,45,55
11,香橙春烏龍,55,65
12,甘蔗春烏龍,55,65
13,優酪春烏龍,50,60
14,百香果綠茶,45,55
15,芝士奶蓋春烏龍,45,55
16,芝士奶蓋焙烏龍,45,55
17,芝士奶蓋抹茶,55,65
18,芝士奶蓋阿華田,55,65
19,紅茶鮮奶,50,60
20,輕烏龍鮮奶,50,60
21,焙烏龍鮮奶,50,60
22,抹茶鮮奶,65,
