超吉大盛,049-2380580 ou 049-2380590 草屯鎮中山街126-5號,
1,超吉燒肉丼飯,85
2,泡菜燒肉丼飯,90
3,照燒雞腿丼飯,95
4,打拋豬肉丼飯,95
5,黃金豬排丼飯,99
6,和風牛肉丼飯,99
7,蜜汁雞排丼飯,115
8,厚燒排骨丼飯,105
9,====== 套餐加點 ======,10000
10,香腸+日式味噌湯,30
11,香腸+鮮採竹筍湯,30
12,香腸+大根貢丸,30
13,香腸+花露冷萃茶,45
14,香腸+桂圓冬瓜茶,45
15,香腸+山採女兒紅,45
