全樂,049-2393321 5月漲價,
1,大雞腿便當,95
2,大滷雞腿便當,95
3,日式豬排便當,95
4,招牌排骨便當,85
5,鯖魚便當,85
6,三杯雞便當,85
7,茄汁排骨便當,85
8,招牌雞腿便當,65
