烏弄, M, L
玉霞紅茶拿鐵,40,55
碧螺春·綠拿鐵,40,55
珍珠紅茶拿鐵,40,55
杏仁凍紅茶拿鐵,45,60
粉真椰·紅茶拿鐵,45,60
芋圓紅茶拿鐵,45,60
迦納可可拿鐵,60,70
黑糖鮮奶珍珠,60
鮮奶香芋圓,65
杏仁凍冬片仔,,45
