佳臻, 2023 漲價囉 0933168538,
1,四寶飯,135
2,三寶飯,120
3,燒鴨腿飯,125
4,油雞全腿飯,120
5,脆皮燒肉飯,105
6,蜜汁叉燒飯,100
7,臘腸飯,85
8,肝腸飯,85
9,肝臘腸飯,95
10,燒鴨飯,105
11,油雞腿飯,100
12,油雞飯,90
13,合菜飯,60
14,燒肉+燒鴨飯,115
15,燒肉+油雞飯,110
16,燒肉+叉燒飯,110
17,燒鴨+油雞飯,110
18,燒鴨+叉燒飯,110
19,叉燒+油雞飯,110
20,肝腸+燒肉飯,105
21,肝腸+燒鴨飯,105
22,肝腸+油雞飯,105
23,肝腸+叉燒飯,105
24,臘腸+燒肉飯,105
25,臘腸+燒鴨飯,105
26,臘腸+油雞飯,105
27,臘腸+叉燒飯,105
28,鴨腿+燒肉飯,170
29,鴨腿+叉燒飯,165
30,全雞腿+燒肉飯,165
31,全雞腿+叉燒飯,160
32,拼盤小,390
33,拼盤大,490
34,加飯,10
35,加飯與滷汁,15
